Codigo region;Region;Codigo provincia;Provincia;Codigo comuna;Comuna;Sexo;Anos de escolaridad promedio;Anos de escolaridad promedio para la poblacion de 18 anos o mas
0;País;0;País;0;País;Total País;10,4;12,1
0;País;0;País;0;País;Hombre;10,3;12,1
0;País;0;País;0;País;Mujer;10,5;12,1
15;Arica y Parinacota;151;Arica;15101;Arica;Total Comuna;10,4;12,3
15;Arica y Parinacota;151;Arica;15101;Arica;Hombre;10,3;12,3
15;Arica y Parinacota;151;Arica;15101;Arica;Mujer;10,4;12,3
15;Arica y Parinacota;151;Arica;15102;Camarones;Total Comuna;9,2;10,0
15;Arica y Parinacota;151;Arica;15102;Camarones;Hombre;9,0;9,9
15;Arica y Parinacota;151;Arica;15102;Camarones;Mujer;9,3;10,1
15;Arica y Parinacota;152;Parinacota;15201;Putre;Total Comuna;9,0;10,3
15;Arica y Parinacota;152;Parinacota;15201;Putre;Hombre;9,4;10,7
15;Arica y Parinacota;152;Parinacota;15201;Putre;Mujer;8,6;9,8
15;Arica y Parinacota;152;Parinacota;15202;General Lagos;Total Comuna;5,8;6,8
15;Arica y Parinacota;152;Parinacota;15202;General Lagos;Hombre;6,5;7,8
15;Arica y Parinacota;152;Parinacota;15202;General Lagos;Mujer;5,0;5,8
1;Tarapacá;11;Iquique;1101;Iquique;Total Comuna;10,9;12,9
1;Tarapacá;11;Iquique;1101;Iquique;Hombre;10,9;13,0
1;Tarapacá;11;Iquique;1101;Iquique;Mujer;10,9;12,8
1;Tarapacá;11;Iquique;1107;Alto Hospicio;Total Comuna;9,1;11,4
1;Tarapacá;11;Iquique;1107;Alto Hospicio;Hombre;9,0;11,4
1;Tarapacá;11;Iquique;1107;Alto Hospicio;Mujer;9,2;11,4
1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;Total Comuna;9,1;11,2
1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;Hombre;9,2;11,3
1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;Mujer;9,0;11,1
1;Tarapacá;14;Del Tamarugal;1402;Camiña;Total Comuna;7,5;8,9
