Comuna;Anos de escolaridad promedio;Anos de escolaridad promedio para la poblacion de 18 anos o mas
Arica;10,4;12,3
Camarones;9,2;10,0
Putre;9,0;10,3
General Lagos;5,8;6,8
Iquique;10,9;12,9
Alto Hospicio;9,1;11,4
Pozo Almonte;9,1;11,2
Camiña;7,5;8,9
Colchane;6,7;7,9
Huara;8,1;9,9
Pica;9,4;11,5
Antofagasta;10,7;12,7
Mejillones;9,3;11,5
Sierra Gorda;9,1;11,2
Taltal;9,5;11,2
Calama;10,3;12,3
Ollagüe;9,5;10,7
San Pedro de Atacama;9,8;11,7
Tocopilla;9,6;11,4
María Elena;10,1;12,0
Copiapó;10,2;12,2
Caldera;10,0;11,7
Tierra Amarilla;8,9;10,5
Chañaral;9,5;11,2
Diego de Almagro;9,9;11,8
Vallenar;9,7;11,4
Alto del Carmen;8,6;9,7
Freirina;9,0;10,5
Huasco;9,7;11,3
La Serena;10,9;12,8
Coquimbo;10,4;12,3
Andacollo;9,3;10,6
La Higuera;8,3;9,4
Paiguano;9,8;11,2
Vicuña;9,5;11,0
Illapel;9,4;10,8
Canela;8,2;9,0
Los Vilos;9,4;11,0
Salamanca;9,2;10,7
Ovalle;9,6;11,2
Combarbalá;8,7;9,7
Monte Patria;8,4;9,6
Punitaqui;8,6;9,9
Río Hurtado;8,4;9,2
Valparaíso;10,9;12,5
Casablanca;9,9;11,6
Concón;12,0;14,0
Juan Fernández;10,3;12,5
Puchuncaví;10,0;11,6
Quintero;10,1;11,8
Viña del Mar;11,5;13,2
Isla de Pascua;10,5;12,8
Los Andes;10,5;12,3
Calle Larga;9,9;11,8
Rinconada;9,9;11,8
San Esteban;9,9;11,6
La Ligua;9,6;11,1
Cabildo;9,2;10,6
Papudo;9,9;11,5
Petorca;9,3;10,5
Zapallar;10,0;11,8
Quillota;10,3;12,1
Calera;9,8;11,4
Hijuelas;9,2;10,7
La Cruz;10,8;12,9
Nogales;9,4;10,8
San Antonio;9,9;11,6
Algarrobo;11,2;12,8
Cartagena;9,4;10,9
El Quisco;10,6;12,1
El Tabo;10,3;11,6
Santo Domingo;10,7;12,6
San Felipe;10,1;11,9
Catemu;9,1;10,4
Llaillay;9,4;11,0
Panquehue;9,3;10,7
Putaendo;9,7;11,2
Santa María;9,4;10,9
Quilpué;11,2;12,9
Limache;10,3;12,1
Olmué;10,0;11,6
Villa Alemana;11,0;12,9
Santiago;12,4;14,0
Cerrillos;10,0;11,8
Cerro Navia;9,3;10,7
Conchalí;10,1;11,7
El Bosque;9,7;11,3
Estación Central;10,7;12,5
Huechuraba;10,9;12,9
Independencia;10,9;12,9
La Cisterna;11,2;13,0
La Florida;11,3;13,0
La Granja;9,7;11,2
La Pintana;8,8;10,4
La Reina;12,8;15,0
Las Condes;13,7;15,7
Lo Barnechea;12,1;14,7
Lo Espejo;9,2;10,7
Lo Prado;10,0;11,4
Macul;11,8;13,5
Maipú;11,0;12,7
Ñuñoa;13,7;15,5
Pedro Aguirre Cerda;10,0;11,4
Peñalolén;10,7;12,4
Providencia;14,4;16,2
Pudahuel;10,2;11,9
Quilicura;10,4;12,3
Quinta Normal;10,6;12,4
Recoleta;10,2;11,8
Renca;9,5;11,2
San Joaquín;10,6;12,1
San Miguel;12,3;14,3
San Ramón;9,5;10,9
Vitacura;13,4;16,0
Puente Alto;10,4;12,3
Pirque;10,6;12,5
San José de Maipo;10,6;12,4
Colina;10,1;12,6
Lampa;9,8;12,2
Tiltil;9,7;11,5
San Bernardo;9,9;11,8
Buin;10,2;12,3
Calera de Tango;10,4;12,1
Paine;9,6;11,4
Melipilla;9,6;11,3
Alhué;9,2;10,9
Curacaví;10,0;11,7
María Pinto;9,3;10,8
San Pedro;8,6;10,0
Talagante;10,1;12,0
El Monte;9,4;11,1
Isla de Maipo;9,7;11,4
Padre Hurtado;10,1;12,3
Peñaflor;10,3;12,1
Rancagua;10,5;12,2
Codegua;9,3;10,8
Coinco;9,3;10,6
Coltauco;9,0;10,3
Doñihue;9,7;11,3
Graneros;9,7;11,5
Las Cabras;8,9;10,3
Machalí;11,0;13,4
Malloa;9,0;10,2
Mostazal;9,4;10,9
Olivar;9,7;11,2
Peumo;9,1;10,5
Pichidegua;8,7;9,9
Quinta de Tilcoco;9,1;10,5
Rengo;9,5;11,1
Requínoa;9,4;11,1
San Vicente;9,5;11,0
Pichilemu;10,1;11,8
La Estrella;9,1;10,3
Litueche;9,2;10,6
Marchihue;8,9;10,1
Navidad;9,5;10,9
Paredones;8,3;9,3
San Fernando;9,9;11,7
Chépica;8,7;9,8
Chimbarongo;8,9;10,3
Lolol;8,8;9,8
Nancagua;9,1;10,5
Palmilla;8,9;10,1
Peralillo;9,2;10,5
Placilla;9,0;10,3
Pumanque;8,8;9,8
Santa Cruz;9,7;11,3
Talca;10,6;12,4
Constitución;9,2;10,8
Curepto;8,5;9,3
Empedrado;8,2;9,3
Maule;9,8;12,0
Pelarco;8,8;10,1
Pencahue;8,9;10,1
Río Claro;8,4;9,5
San Clemente;8,7;10,1
San Rafael;8,9;10,3
Cauquenes;9,1;10,5
Chanco;8,4;9,4
Pelluhue;9,3;10,7
Curicó;10,0;11,8
Hualañé;8,7;9,9
Licantén;9,4;10,6
Molina;9,2;10,6
Rauco;8,8;10,1
Romeral;9,0;10,4
Sagrada Familia;8,6;9,8
Teno;8,7;9,9
Vichuquén;9,2;10,3
Linares;9,8;11,4
Colbún;8,8;10,2
Longaví;8,3;9,5
Parral;9,1;10,6
Retiro;8,4;9,6
San Javier;9,0;10,6
Villa Alegre;8,8;10,2
Yerbas Buenas;8,4;9,6
Chillán;10,6;12,3
Bulnes;9,2;10,5
Chillán Viejo;9,9;11,6
El Carmen;8,6;9,7
Pemuco;8,7;9,9
