Comuna;% nunca;% profe;aep1;aep2;edad_5_14;edad_15_64;edad_65_mas
Arica;2.87;29.76;10.4;12.3;5.522;1.379;1.182
Camarones;52.26;15.91;9.2;10.0;8.0;9.0;15.0
Putre;51.07;17.84;9.0;10.3;28.0;16.0;36.0
General Lagos;153.54;4.53;5.8;6.8;8.0;12.0;38.0
Iquique;0.25;34.06;10.9;12.9;4.365;787.0;438.0
Alto Hospicio;3.88;16.39;9.1;11.4;4.636;994.0;400.0
Pozo Almonte;37.92;16.49;9.1;11.2;508.0;119.0;89.0
Camiña;68.16;8.16;7.5;8.9;35.0;18.0;40.0
Colchane;108.86;7.59;6.7;7.9;18.0;22.0;50.0
Huara;65.43;11.51;8.1;9.9;80.0;43.0;46.0
Pica;29.97;19.18;9.4;11.5;149.0;38.0;37.0
Antofagasta;2.92;32.05;10.7;12.7;8.894;2.03;880.0
Mejillones;36.78;17.32;9.3;11.5;419.0;78.0;37.0
Sierra Gorda;46.88;16.37;9.1;11.2;49.0;15.0;7.0
Taltal;32.49;18.1;9.5;11.2;278.0;91.0;94.0
Calama;0.38;27.77;10.3;12.3;3.822;800.0;577.0
Ollagüe;35.16;19.92;9.5;10.7;2.0;0.0;8.0
San Pedro de Atacama;42.67;24.56;9.8;11.7;237.0;66.0;81.0
Tocopilla;23.94;19.08;9.6;11.4;660.0;175.0;98.0
María Elena;31.44;22.73;10.1;12.0;120.0;26.0;7.0
Copiapó;3.08;28.89;10.2;12.2;4.14;1.048;764.0
Caldera;24.78;25.13;10.0;11.7;499.0;170.0;93.0
Tierra Amarilla;37.65;13.6;8.9;10.5;330.0;116.0;130.0
Chañaral;26.65;20.19;9.5;11.2;350.0;80.0;94.0
Diego de Almagro;26.15;23.03;9.9;11.8;278.0;63.0;66.0
Vallenar;3.59;21.76;9.7;11.4;1.297;501.0;590.0
Alto del Carmen;61.19;12.41;8.6;9.7;94.0;88.0;173.0
Freirina;42.1;15.52;9.0;10.5;185.0;96.0;136.0
Huasco;26.47;21.92;9.7;11.3;224.0;91.0;100.0
La Serena;2.43;36.05;10.9;12.8;5.362;1.364;1.161
Coquimbo;2.64;29.83;10.4;12.3;6.192;1.694;1.418
Andacollo;35.97;18.37;9.3;10.6;236.0;112.0;171.0
La Higuera;64.13;11.3;8.3;9.4;95.0;106.0;124.0
Paiguano;24.09;22.16;9.8;11.2;82.0;38.0;53.0
Vicuña;34.05;19.71;9.5;11.0;532.0;268.0;353.0
Illapel;3.54;20.95;9.4;10.8;755.0;357.0;504.0
Canela;68.68;13.28;8.2;9.0;173.0;170.0;377.0
Los Vilos;38.99;22.08;9.4;11.0;547.0;252.0;364.0
Salamanca;35.04;19.07;9.2;10.7;646.0;326.0;464.0
Ovalle;3.15;21.29;9.6;11.2;2.709;1.059;1.331
Combarbalá;45.39;16.5;8.7;9.7;308.0;218.0;360.0
Monte Patria;4.69;12.83;8.4;9.6;614.0;453.0;715.0
Punitaqui;47.45;14.31;8.6;9.9;272.0;175.0;273.0
Río Hurtado;60.45;13.96;8.4;9.2;77.0;76.0;154.0
Valparaíso;2.21;34.6;10.9;12.5;5.508;1.898;1.394
Casablanca;29.59;25.22;9.9;11.6;614.0;300.0;333.0
Concón;2.12;48.02;12.0;14.0;862.0;197.0;172.0
