Comuna;% nunca;% profe;aep1;aep2
Arica;2.87;29.76;10.4;12.3
Camarones;52.26;15.91;9.2;10.0
Putre;51.07;17.84;9.0;10.3
General Lagos;153.54;4.53;5.8;6.8
Iquique;0.25;34.06;10.9;12.9
Alto Hospicio;3.88;16.39;9.1;11.4
Pozo Almonte;37.92;16.49;9.1;11.2
Camiña;68.16;8.16;7.5;8.9
Colchane;108.86;7.59;6.7;7.9
Huara;65.43;11.51;8.1;9.9
Pica;29.97;19.18;9.4;11.5
Antofagasta;2.92;32.05;10.7;12.7
Mejillones;36.78;17.32;9.3;11.5
Sierra Gorda;46.88;16.37;9.1;11.2
Taltal;32.49;18.1;9.5;11.2
Calama;0.38;27.77;10.3;12.3
Ollagüe;35.16;19.92;9.5;10.7
San Pedro de Atacama;42.67;24.56;9.8;11.7
Tocopilla;23.94;19.08;9.6;11.4
María Elena;31.44;22.73;10.1;12.0
Copiapó;3.08;28.89;10.2;12.2
Caldera;24.78;25.13;10.0;11.7
Tierra Amarilla;37.65;13.6;8.9;10.5
Chañaral;26.65;20.19;9.5;11.2
Diego de Almagro;26.15;23.03;9.9;11.8
Vallenar;3.59;21.76;9.7;11.4
Alto del Carmen;61.19;12.41;8.6;9.7
Freirina;42.1;15.52;9.0;10.5
Huasco;26.47;21.92;9.7;11.3
La Serena;2.43;36.05;10.9;12.8
Coquimbo;2.64;29.83;10.4;12.3
Andacollo;35.97;18.37;9.3;10.6
La Higuera;64.13;11.3;8.3;9.4
Paiguano;24.09;22.16;9.8;11.2
Vicuña;34.05;19.71;9.5;11.0
Illapel;3.54;20.95;9.4;10.8
Canela;68.68;13.28;8.2;9.0
Los Vilos;38.99;22.08;9.4;11.0
Salamanca;35.04;19.07;9.2;10.7
Ovalle;3.15;21.29;9.6;11.2
Combarbalá;45.39;16.5;8.7;9.7
Monte Patria;4.69;12.83;8.4;9.6
Punitaqui;47.45;14.31;8.6;9.9
Río Hurtado;60.45;13.96;8.4;9.2
Valparaíso;2.21;34.6;10.9;12.5
Casablanca;29.59;25.22;9.9;11.6
Concón;2.12;48.02;12.0;14.0
Juan Fernández;11.06;32.08;10.3;12.5
Puchuncaví;28.53;26.36;10.0;11.6
Quintero;2.9;27.58;10.1;11.8
Viña del Mar;2.12;41.54;11.5;13.2
Isla de Pascua;23.33;31.9;10.5;12.8
Los Andes;2.39;30.44;10.5;12.3
Calle Larga;29.04;25.09;9.9;11.8
Rinconada;30.45;26.94;9.9;11.8
San Esteban;31.18;26.43;9.9;11.6
La Ligua;3.24;23.46;9.6;11.1
Cabildo;41.37;19.47;9.2;10.6
Papudo;28.96;24.73;9.9;11.5
Petorca;43.99;20.16;9.3;10.5
Zapallar;27.57;28.56;10.0;11.8
Quillota;2.46;30.17;10.3;12.1
Calera;2.96;24.1;9.8;11.4
Hijuelas;38.53;20.15;9.2;10.7
La Cruz;27.19;37.25;10.8;12.9
Nogales;34.24;19.64;9.4;10.8
San Antonio;3.02;23.71;9.9;11.6
Algarrobo;28.8;37.71;11.2;12.8
Cartagena;32.56;18.17;9.4;10.9
El Quisco;27.99;30.67;10.6;12.1
El Tabo;28.11;27.03;10.3;11.6
Santo Domingo;26.88;36.45;10.7;12.6
San Felipe;2.79;27.56;10.1;11.9
Catemu;32.92;16.66;9.1;10.4
Llaillay;31.55;21.79;9.4;11.0
Panquehue;32.74;18.98;9.3;10.7
Putaendo;33.57;23.56;9.7;11.2
Santa María;26.76;19.83;9.4;10.9
Quilpué;2.06;39.02;11.2;12.9
Limache;2.81;30.29;10.3;12.1
Olmué;29.48;27.18;10.0;11.6
Villa Alemana;2.32;37.59;11.0;12.9
Santiago;2.35;50.67;12.4;14.0
Cerrillos;2.87;26.25;10.0;11.8
Cerro Navia;3.51;16.35;9.3;10.7
Conchalí;0.28;25.22;10.1;11.7
El Bosque;3.07;21.56;9.7;11.3
Estación Central;3.62;31.79;10.7;12.5
Huechuraba;2.47;37.54;10.9;12.9
Independencia;3.27;34.58;10.9;12.9
La Cisterna;2.8;38.79;11.2;13.0
La Florida;2.27;40.01;11.3;13.0
La Granja;2.94;20.98;9.7;11.2
La Pintana;3.68;13.33;8.8;10.4
La Reina;1.5;58.29;12.8;15.0
Las Condes;0.02;66.28;13.7;15.7
Lo Barnechea;2.0;51.43;12.1;14.7
Lo Espejo;3.32;15.93;9.2;10.7
