Comuna;Poblacion censada;Nunca asistio;Diferencial;Parvularia;Basica;Media;Superior;Nivel educativo no declarado
País;18.480.432;552.698;100.691;821.251;4.432.723;6.745.582;5.711.299;116.188
Arica;241.653;6.944;1.322;11.798;51.384;96.160;71.908;2.137
Camarones;861;45.0;4.0;19.0;272;383;137;1.0
Putre;1.547;79.0;2.0;71.0;476;629;276;14.0
General Lagos;508;78.0;3.0;28.0;250;123;23;3.0
Iquique;199.587;4.93;864.0;9.521;37.191;77.013;67.982;2.086
Alto Hospicio;142.086;5.508;888.0;9.262;37.348;64.848;23.283;949.0
Pozo Almonte;16.878;640.0;48.0;1.042;4.770;7.485;2.784;109.0
Camiña;1.335;91.0;4.0;78.0;614;437;109;2.0
Colchane;790;86.0;0.0;51.0;356;234;60;3.0
Huara;2.858;187.0;5.0;174.0;1.019;1.123;329;21.0
Pica;6.272;188.0;31.0;401.0;1.751;2.678;1.203;20.0
Antofagasta;401.096;11.718;2.014;18.122;79.160;158.525;128.545;3.012
Mejillones;14.084;518.0;70.0;791.0;3.613;6.588;2.439;65.0
Sierra Gorda;1.472;69.0;2.0;83.0;392;669;241;16.0
Taltal;12.097;393.0;48.0;538.0;3.391;5.478;2.189;60.0
Calama;166.334;6.26;770.0;6.947;35.489;69.100;46.192;1.576
Ollagüe;256;9.0;0.0;5.0;84;103;51;4.0
San Pedro de Atacama;9.843;420.0;26.0;541.0;2.308;4.030;2.417;101.0
Tocopilla;25.400;608.0;179.0;1.271;6.617;11.785;4.846;94.0
María Elena;4.834;152.0;9.0;205.0;1.047;2.308;1.099;14.0
Copiapó;168.831;5.199;818.0;7.851;39.229;65.796;48.771;1.167
Caldera;18.805;466.0;81.0;933.0;4.725;7.719;4.726;155.0
Tierra Amarilla;11.846;446.0;44.0;634.0;3.794;5.280;1.611;37.0
Chañaral;12.345;329.0;104.0;643.0;3.409;5.301;2.493;66.0
Diego de Almagro;11.397;298.0;50.0;587.0;2.863;4.895;2.625;79.0
Vallenar;54.222;1.948;431.0;2.608;13.812;23.256;11.801;366.0
Alto del Carmen;4.788;293.0;10.0;149.0;1.684;2.040;594;18.0
Freirina;7.577;319.0;31.0;356.0;2.404;3.261;1.176;30.0
Huasco;9.369;248.0;44.0;449.0;2.501;3.979;2.054;94.0
La Serena;250.141;6.088;1.383;10.996;50.540;89.235;90.164;1.735
Coquimbo;263.719;6.963;1.757;12.212;58.879;103.778;78.679;1.451
Andacollo;11.566;416.0;25.0;486.0;3.702;4.796;2.125;16.0
La Higuera;4.335;278.0;16.0;176.0;1.657;1.690;490;28.0
Paiguano;4.649;112.0;14.0;201.0;1.394;1.874;1.030;24.0
Vicuña;28.047;955.0;95.0;1.238;8.341;11.725;5.528;165.0
Illapel;32.009;1.134;161.0;1.449;9.972;12.492;6.705;96.0
Canela;9.639;662.0;20.0;287.0;4.316;3.051;1.280;23.0
Los Vilos;22.879;892.0;124.0;1.167;6.895;8.678;5.052;71.0
Salamanca;27.823;975.0;123.0;1.251;9.566;10.506;5.307;95.0
Ovalle;118.696;3.737;613.0;5.318;34.924;47.960;25.269;875.0
Combarbalá;12.954;588.0;35.0;462.0;5.370;4.314;2.138;47.0
Monte Patria;29.997;1.407;117.0;1.18;12.546;10.861;3.848;38.0
Punitaqui;12.076;573.0;84.0;465.0;4.622;4.575;1.728;29.0
