Comuna;% nunca;% profe
País;2.99;30.9
Arica;2.87;29.76
Camarones;52.26;15.91
Putre;51.07;17.84
General Lagos;153.54;4.53
Iquique;0.25;34.06
Alto Hospicio;3.88;16.39
Pozo Almonte;37.92;16.49
Camiña;68.16;8.16
Colchane;108.86;7.59
Huara;65.43;11.51
Pica;29.97;19.18
Antofagasta;2.92;32.05
Mejillones;36.78;17.32
Sierra Gorda;46.88;16.37
Taltal;32.49;18.1
Calama;0.38;27.77
Ollagüe;35.16;19.92
San Pedro de Atacama;42.67;24.56
Tocopilla;23.94;19.08
María Elena;31.44;22.73
Copiapó;3.08;28.89
Caldera;24.78;25.13
Tierra Amarilla;37.65;13.6
Chañaral;26.65;20.19
Diego de Almagro;26.15;23.03
Vallenar;3.59;21.76
Alto del Carmen;61.19;12.41
Freirina;42.1;15.52
Huasco;26.47;21.92
La Serena;2.43;36.05
Coquimbo;2.64;29.83
Andacollo;35.97;18.37
La Higuera;64.13;11.3
Paiguano;24.09;22.16
Vicuña;34.05;19.71
Illapel;3.54;20.95
Canela;68.68;13.28
Los Vilos;38.99;22.08
Salamanca;35.04;19.07
Ovalle;3.15;21.29
Combarbalá;45.39;16.5
Monte Patria;4.69;12.83
Punitaqui;47.45;14.31
Río Hurtado;60.45;13.96
Valparaíso;2.21;34.6
Casablanca;29.59;25.22
Concón;2.12;48.02
Juan Fernández;11.06;32.08
Puchuncaví;28.53;26.36
Quintero;2.9;27.58
Viña del Mar;2.12;41.54
Isla de Pascua;23.33;31.9
Los Andes;2.39;30.44
Calle Larga;29.04;25.09
Rinconada;30.45;26.94
San Esteban;31.18;26.43
La Ligua;3.24;23.46
Cabildo;41.37;19.47
Papudo;28.96;24.73
Petorca;43.99;20.16
Zapallar;27.57;28.56
Quillota;2.46;30.17
Calera;2.96;24.1
Hijuelas;38.53;20.15
La Cruz;27.19;37.25
Nogales;34.24;19.64
San Antonio;3.02;23.71
Algarrobo;28.8;37.71
Cartagena;32.56;18.17
El Quisco;27.99;30.67
El Tabo;28.11;27.03
Santo Domingo;26.88;36.45
San Felipe;2.79;27.56
Catemu;32.92;16.66
Llaillay;31.55;21.79
Panquehue;32.74;18.98
Putaendo;33.57;23.56
Santa María;26.76;19.83
Quilpué;2.06;39.02
Limache;2.81;30.29
Olmué;29.48;27.18
Villa Alemana;2.32;37.59
Santiago;2.35;50.67
Cerrillos;2.87;26.25
Cerro Navia;3.51;16.35
Conchalí;0.28;25.22
El Bosque;3.07;21.56
Estación Central;3.62;31.79
Huechuraba;2.47;37.54
Independencia;3.27;34.58
La Cisterna;2.8;38.79
La Florida;2.27;40.01
La Granja;2.94;20.98
La Pintana;3.68;13.33
La Reina;1.5;58.29
Las Condes;0.02;66.28
Lo Barnechea;2.0;51.43
Lo Espejo;3.32;15.93
Lo Prado;2.73;23.14
Macul;2.0;46.15
Maipú;2.2;36.22
Ñuñoa;1.65;66.43
Pedro Aguirre Cerda;2.66;23.7
Peñalolén;2.34;33.38
Providencia;1.56;73.27
Pudahuel;2.88;27.42
Quilicura;2.83;29.56
Quinta Normal;2.81;30.11
Recoleta;2.84;26.49
Renca;2.91;20.72
San Joaquín;2.39;31.02
San Miguel;2.46;52.44
San Ramón;3.21;19.24
Vitacura;2.22;65.65
Puente Alto;2.6;30.84
Pirque;27.84;34.33
San José de Maipo;23.34;33.67
Colina;0.35;32.06
Lampa;4.38;28.01
Tiltil;32.27;24.99
San Bernardo;3.25;25.42
Buin;3.67;31.94
Calera de Tango;30.21;30.99
Paine;3.46;24.18
Melipilla;4.08;22.92
Alhué;54.97;19.07
Curacaví;3.07;27.91
María Pinto;34.98;20.5
San Pedro;55.37;13.38
Talagante;3.0;27.68
El Monte;3.4;20.65
