Código región;Región;Código provincia;Provincia;Código comuna;Comuna;Sabe leer y escribir;Población de 5 años o más;5-14 años;15-64 años;65 años o más
0;País;0;País;0;País;Total País;17.609.739;2.403.955;12.618.546;2.587.238
0;País;0;País;0;País;Sí;16.768.987;1.988.549;12.377.415;2.403.023
0;País;0;País;0;País;No;725.878;395.026;166.492;164.360
0;País;0;País;0;País;Sabe leer y escribir no declarado;114.874;20.380;74.639;19.855
15;Arica y Parinacota;151;Arica;15101;Arica;Total Comuna;228.982;34.880;163.466;30.636
15;Arica y Parinacota;151;Arica;15101;Arica;Sí;218.770;29.003;160.599;29.168
15;Arica y Parinacota;151;Arica;15101;Arica;No;8.083;5.522;1.379;1.182
15;Arica y Parinacota;151;Arica;15101;Arica;Sabe leer y escribir no declarado;2.129;355;1.488;286
15;Arica y Parinacota;151;Arica;15102;Camarones;Total Comuna;835;80;527;228
15;Arica y Parinacota;151;Arica;15102;Camarones;Sí;802;72;517;213
15;Arica y Parinacota;151;Arica;15102;Camarones;No;32;8;9;15
15;Arica y Parinacota;151;Arica;15102;Camarones;Sabe leer y escribir no declarado;1;0;1;0
15;Arica y Parinacota;152;Parinacota;15201;Putre;Total Comuna;1.469;172;1.041;256
15;Arica y Parinacota;152;Parinacota;15201;Putre;Sí;1.374;141;1.014;219
15;Arica y Parinacota;152;Parinacota;15201;Putre;No;80;28;16;36
15;Arica y Parinacota;152;Parinacota;15201;Putre;Sabe leer y escribir no declarado;15;3;11;1
15;Arica y Parinacota;152;Parinacota;15202;General Lagos;Total Comuna;464;79;269;116
15;Arica y Parinacota;152;Parinacota;15202;General Lagos;Sí;404;70;256;78
15;Arica y Parinacota;152;Parinacota;15202;General Lagos;No;58;8;12;38
15;Arica y Parinacota;152;Parinacota;15202;General Lagos;Sabe leer y escribir no declarado;2;1;1;0
1;Tarapacá;11;Iquique;1101;Iquique;Total Comuna;189.620;27.628;137.764;24.228
1;Tarapacá;11;Iquique;1101;Iquique;Sí;181.965;22.945;135.442;23.578
1;Tarapacá;11;Iquique;1101;Iquique;No;5.590;4.365;787;438
