Comuna;5-14+;15-64+;65+
Arica;5.522;1.379;1.182
Camarones;8;9;15
Putre;28;16;36
General Lagos;8;12;38
Iquique;4.365;787;438
Alto Hospicio;4.636;994;400
Pozo Almonte;508;119;89
Camiña;35;18;40
Colchane;18;22;50
Huara;80;43;46
Pica;149;38;37
Antofagasta;8.894;2.030;880
Mejillones;419;78;37
Sierra Gorda;49;15;7
Taltal;278;91;94
Calama;3.822;800;577
Ollagüe;2;0;8
San Pedro de Atacama;237;66;81
Tocopilla;660;175;98
María Elena;120;26;7
Copiapó;4.140;1.048;764
Caldera;499;170;93
Tierra Amarilla;330;116;130
Chañaral;350;80;94
Diego de Almagro;278;63;66
Vallenar;1.297;501;590
Alto del Carmen;94;88;173
Freirina;185;96;136
Huasco;224;91;100
La Serena;5.362;1.364;1.161
Coquimbo;6.192;1.694;1.418
Andacollo;236;112;171
La Higuera;95;106;124
Paiguano;82;38;53
Vicuña;532;268;353
Illapel;755;357;504
Canela;173;170;377
Los Vilos;547;252;364
Salamanca;646;326;464
Ovalle;2.709;1.059;1.331
Combarbalá;308;218;360
Monte Patria;614;453;715
Punitaqui;272;175;273
Río Hurtado;77;76;154
Valparaíso;5.508;1.898;1.394
Casablanca;614;300;333
Concón;862;197;172
Juan Fernández;18;3;2
Puchuncaví;476;196;169
Quintero;829;290;232
Viña del Mar;5.916;1.801;1.332
Isla de Pascua;110;20;12
Los Andes;1.349;395;363
Calle Larga;469;148;179
Rinconada;321;117;154
San Esteban;462;181;249
La Ligua;883;364;544
Cabildo;490;243;402
Papudo;179;63;61
Petorca;190;147;249
Zapallar;155;50;62
Quillota;2.114;735;759
Calera;1.209;448;466
Hijuelas;485;280;310
La Cruz;607;114;150
Nogales;534;278;341
San Antonio;2.258;890;737
Algarrobo;335;93;121
Cartagena;610;255;233
El Quisco;378;109;98
El Tabo;308;120;104
Santo Domingo;305;84;116
San Felipe;1.855;733;629
Catemu;310;179;242
Llaillay;674;328;340
Panquehue;149;99;95
Putaendo;385;201;278
Santa María;345;172;197
Quilpué;3.243;786;577
Limache;1.307;415;333
Olmué;493;265;201
Villa Alemana;2.922;665;481
Santiago;6.011;1.402;502
Cerrillos;1.926;899;455
Cerro Navia;2.636;1.393;1.340
Conchalí;2.415;966;830
El Bosque;3.514;1.570;1.373
Estación Central;3.539;899;666
Huechuraba;2.214;662;628
Independencia;2.455;367;271
La Cisterna;1.976;418;330
La Florida;6.764;1.914;1.671
La Granja;2.316;1.061;989
La Pintana;4.519;2.362;1.894
La Reina;1.647;338;221
Las Condes;4.072;538;342
Lo Barnechea;1.996;391;300
Lo Espejo;2.108;1.157;913
Lo Prado;1.762;794;757
Macul;1.983;550;516
Maipú;9.382;2.378;1.747
Ñuñoa;3.307;412;298
Pedro Aguirre Cerda;1.992;942;740
Peñalolén;4.493;1.892;1.714
Providencia;1.809;189;74
Pudahuel;4.912;1.748;1.568
Quilicura;4.432;1.240;687
Quinta Normal;2.794;648;487
Recoleta;3.109;1.190;960
Renca;3.325;1.372;1.092
San Joaquín;1.788;605;507
San Miguel;2.572;354;261
San Ramón;1.575;773;847
Vitacura;1.351;142;41
Puente Alto;12.357;3.950;2.734
Pirque;665;201;186
San José de Maipo;366;138;152
Colina;4.851;1.659;925
Lampa;4.223;1.337;752
Tiltil;570;199;219
San Bernardo;7.663;2.897;1.943
Buin;3.115;952;712
Calera de Tango;564;288;228
Paine;2.004;1.029;702
Melipilla;3.359;1.547;1.601
Alhué;200;74;165
Curacaví;807;390;334
María Pinto;359;217;233
San Pedro;244;116;230
Talagante;1.781;685;583
El Monte;1.046;481;450
Isla de Maipo;879;452;475
Padre Hurtado;2.181;553;558
Peñaflor;2.246;761;725
Rancagua;5.701;2.284;1.780
Codegua;320;204;185
Coinco;153;106;101
Coltauco;423;335;412
Doñihue;414;205;229
Graneros;890;402;368
Las Cabras;613;437;584
Machalí;1.508;367;326
Malloa;272;277;245
Mostazal;679;415;406
Olivar;287;184;174
Peumo;263;316;307
Pichidegua;370;375;540
Quinta de Tilcoco;286;266;283
Rengo;1.536;894;756
Requínoa;707;420;389
